Region,Month,Workflow,Original Footprint (gCO2e),Makespan (s),Reduction 6h (%),Overhead,Reduction 12h (%),Overhead,Reduction 24h (%),Overhead,Reduction 48h (%),Overhead,Reduction 96h (%),Overhead
ca,feb,chipseq,2155.34,13324,53.80,0.00,70.97,0.00,70.97,0.00,70.97,0.00,70.97,0.00
ca,feb,mag,3830.56,45476,22.07,0.00,22.07,0.00,47.97,2628.50,48.57,4313.49,49.87,0.00
ca,feb,montage,126.86,1900,27.57,0.00,71.70,0.00,71.70,0.00,71.70,0.00,71.70,0.00
ca,feb,nanoseq,111.25,20032,63.47,0.00,69.57,0.00,69.57,0.00,69.57,0.00,69.57,0.00
ca,feb,rangeland,3008.29,24799,60.20,0.00,66.90,0.00,66.90,0.00,67.23,272.81,67.23,0.00
ca,feb,rnaseq,1531.16,11011,51.13,0.00,71.33,0.00,71.33,0.00,71.33,0.00,71.33,0.00
ca,feb,sarek,2796.22,18265,58.27,0.00,69.90,0.00,69.90,0.00,69.90,0.00,69.90,0.00
ca,mar,chipseq,1361.53,13324,50.97,0.00,65.97,792.14,65.97,792.14,72.07,0.00,75.67,0.00
ca,mar,mag,2630.69,45476,25.03,1842.88,25.03,368.76,51.80,1183.50,61.47,3586.76,63.20,1842.88
ca,mar,montage,74.08,1900,13.60,0.00,70.80,0.00,70.80,0.00,74.17,0.00,74.17,0.00
ca,mar,nanoseq,74.37,20032,61.37,0.00,66.63,0.00,66.63,0.00,72.60,0.00,76.17,0.00
ca,mar,rangeland,2020.90,24799,58.30,0.00,64.70,0.00,64.70,0.00,70.90,0.33,75.03,0.00
ca,mar,rnaseq,943.53,11011,46.67,0.00,65.77,1624.34,65.77,1624.34,71.67,0.00,75.37,0.00
ca,mar,sarek,1823.50,18265,55.97,0.00,66.37,1277.41,66.37,1277.41,72.27,0.00,75.77,0.00
ca,apr,chipseq,1403.49,13324,45.40,0.00,65.43,0.00,65.43,0.00,65.97,1412.47,66.80,0.00
ca,apr,mag,2808.69,45476,34.50,26.88,34.50,26.88,49.40,2644.99,50.57,3825.52,53.67,26.88
ca,apr,montage,91.21,1900,31.80,0.00,67.30,0.00,67.30,0.00,68.30,0.00,72.90,0.00
ca,apr,nanoseq,75.23,20032,54.17,0.00,65.20,0.00,65.20,0.00,65.73,1728.27,66.37,0.00
ca,apr,rangeland,2061.39,24799,51.70,0.00,63.10,0.33,63.10,0.33,64.50,221.33,65.60,0.00
ca,apr,rnaseq,980.95,11011,44.07,0.00,64.60,0.00,65.17,0.00,66.30,2693.34,66.77,0.00
ca,apr,sarek,1859.59,18265,48.80,0.00,65.00,0.00,65.00,0.00,65.73,5736.54,66.60,0.00
ca,may,chipseq,1088.57,13324,60.50,0.00,75.30,0.00,75.30,0.00,75.30,0.00,75.83,0.00
ca,may,mag,1928.84,45476,34.07,0.00,34.07,0.00,50.97,1183.50,57.87,4640.99,63.93,0.00
ca,may,montage,77.43,1900,41.70,0.00,74.37,0.00,74.37,0.00,78.30,0.00,83.83,0.00
ca,may,nanoseq,58.28,20032,68.07,0.00,74.63,0.00,74.63,0.00,74.63,0.00,75.63,0.00
ca,may,rangeland,1549.25,24799,66.10,0.00,71.70,0.00,71.70,0.00,71.80,327.33,73.83,0.00
ca,may,rnaseq,767.38,11011,58.93,0.00,75.57,0.00,75.57,0.00,75.57,0.00,76.20,0.00
ca,may,sarek,1452.22,18265,64.50,0.00,74.53,0.00,74.53,0.00,74.53,0.00,75.93,0.00
ca,jun,chipseq,855.85,13324,54.10,0.00,61.77,0.00,61.77,0.00,61.77,0.00,68.37,0.00
ca,jun,mag,1626.98,45476,24.03,26.88,24.03,26.88,36.30,1183.50,39.17,2912.99,53.27,26.88
ca,jun,montage,70.09,1900,45.80,0.00,66.23,0.00,66.23,0.00,71.33,0.00,81.60,0.00
ca,jun,nanoseq,45.71,20032,58.23,0.00,61.50,0.00,61.50,0.00,61.50,0.00,67.17,0.00
ca,jun,rangeland,1206.94,24799,55.80,0.00,57.83,0.00,57.83,0.00,57.83,0.00,64.20,0.00
ca,jun,rnaseq,600.96,11011,52.83,0.00,61.57,0.00,61.57,0.00,61.57,0.00,68.90,0.00
ca,jun,sarek,1144.77,18265,56.70,0.00,61.67,0.00,61.67,0.00,61.67,0.00,67.20,0.00
ca,jul,chipseq,1600.99,13324,40.47,0.00,43.33,0.00,43.33,0.00,43.70,1412.47,43.70,0.00
ca,jul,mag,3455.50,45476,13.43,0.00,13.43,0.00,24.23,3586.76,24.23,3749.99,24.23,0.00
ca,jul,montage,108.83,1900,34.40,0.00,51.00,0.00,51.00,0.00,51.00,0.00,51.00,0.00
ca,jul,nanoseq,85.06,20032,42.13,0.00,42.13,0.00,42.13,0.00,43.43,1042.14,43.43,0.00
ca,jul,rangeland,2285.90,24799,37.77,0.00,37.77,0.00,37.77,0.00,40.23,249.81,40.23,0.00
ca,jul,rnaseq,1129.44,11011,40.00,0.00,44.00,0.00,44.00,0.00,44.07,2693.34,44.07,0.00
ca,jul,sarek,2124.51,18265,41.47,0.00,42.93,0.00,42.93,0.00,43.90,2778.42,43.90,0.00
ca,aug,chipseq,1584.98,13324,43.13,0.00,56.27,1412.47,56.27,1412.47,66.70,0.00,70.23,0.00
ca,aug,mag,3169.94,45476,25.17,0.00,25.17,583.50,44.83,3586.76,51.77,1183.50,55.70,0.00
ca,aug,montage,87.79,1900,35.47,0.00,65.70,0.00,65.70,0.00,65.70,0.00,69.23,0.00
ca,aug,nanoseq,83.24,20032,50.43,0.00,55.47,0.00,55.47,0.00,65.83,0.00,69.10,0.00
ca,aug,rangeland,2272.03,24799,47.90,0.00,53.40,0.00,53.40,0.00,64.30,0.00,67.73,0.00
ca,aug,rnaseq,1125.11,11011,41.37,0.00,56.77,2693.34,56.77,2693.34,67.03,0.00,70.80,0.00
ca,aug,sarek,2080.91,18265,46.83,0.00,55.90,0.00,55.90,0.00,65.97,0.00,69.27,0.00
ca,sep,chipseq,2012.72,13324,33.83,0.00,44.67,0.00,44.67,0.00,62.40,0.00,81.60,0.00
ca,sep,mag,4403.36,45476,16.17,0.00,16.17,329.88,38.13,3586.76,60.10,3586.76,74.67,0.00
ca,sep,montage,112.41,1900,19.30,0.00,61.03,0.00,61.03,0.00,81.97,0.00,81.97,0.00
ca,sep,nanoseq,107.69,20032,41.53,0.00,43.47,0.00,43.47,0.00,62.20,0.00,81.40,0.00
ca,sep,rangeland,2969.54,24799,38.27,0.00,41.73,0.00,41.73,0.00,59.87,0.00,80.77,0.00
ca,sep,rnaseq,1409.36,11011,31.30,0.00,44.90,0.00,44.90,0.00,62.40,0.00,81.60,0.00
