task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
23	ed/0201e7	nf-ed0201e781e8d0b6fc784a59e991993f-55a02	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2)	COMPLETED	0	2026-01-07 11:47:22.922	1h 24m 39s	1h 24m 27s	594.0%	21.5 GB	21.9 GB	13 GB	5.6 GB
47	c4/02ed00	nf-c402ed004568fe58f9b6acdc37a83c4f-98ea9	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R1)	COMPLETED	0	2026-01-07 13:11:17.106	49.9s	46s	144.4%	53.8 MB	222.2 MB	1.6 GB	2.6 MB
49	21/8f40ac	nf-218f40acf42d5f517e566997e273fd2f-d8b7a	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (2)	COMPLETED	0	2026-01-07 13:08:12.070	4m 5s	1m 1s	131.1%	1.3 GB	1.5 GB	1.8 GB	411.6 MB
50	23/1bae4c	nf-231bae4cef1b1c333fbdda00d443a22d-804a6	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R1)	COMPLETED	0	2026-01-07 13:12:22.056	34.9s	33s	110.2%	6.9 MB	220.9 MB	2.5 GB	5.3 KB
52	3c/b9fcfa	nf-3cb9fcfa152f64fa77b299b396f80fee-b5b37	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R1)	COMPLETED	0	2026-01-07 13:13:02.062	938ms	0ms	39.8%	3 MB	5.4 MB	2.4 MB	5.4 KB
55	48/9e67cf	nf-489e67cfa8ef6ea1259d5f1577938ada-73e9d	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R2)	COMPLETED	0	2026-01-07 13:13:07.114	886ms	0ms	49.5%	4.6 MB	12 MB	2.1 MB	5.4 KB
54	65/85a179	nf-6585a179c2f800c077927dc319294edc-03315	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (3)	COMPLETED	0	2026-01-07 13:12:12.084	1m 59s	1m 49s	133.3%	2.7 GB	3.1 GB	2.9 GB	822.4 MB
57	44/6699b6	nf-446699b672a06494f7b54ddfb026db14-132f1	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R2)	COMPLETED	0	2026-01-07 13:14:17.108	14.9s	13s	70.3%	7 MB	220.9 MB	646.2 MB	5.3 KB
59	21/3e1b7d	nf-213e1b7d8d88549ee9806783d2eefafd-a1230	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R2)	COMPLETED	0	2026-01-07 13:13:12.072	2m 32s	1m 29s	127.5%	4.6 GB	5.2 GB	828.1 MB	364 MB
58	d7/9d92a8	nf-d79d92a889dae18ac6cc406e04f37494-12f90	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4)	COMPLETED	0	2026-01-07 13:14:42.137	1m 31s	25s	132.7%	554.1 MB	658 MB	730.8 MB	169.5 MB
56	10/a35b02	nf-10a35b029c92e03b02f4ceb7d3baedbe-11006	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R2)	COMPLETED	0	2026-01-07 13:16:17.297	20.7s	20s	134.2%	133.4 MB	283.7 MB	646.2 MB	5.1 MB
53	18/780f87	nf-18780f87d7319a44798977766e5b5805-b3c2d	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R1)	COMPLETED	0	2026-01-07 13:12:06.980	4m 40s	4m 30s	112.0%	6.7 GB	7.9 GB	2.8 GB	654.8 MB
51	55/7f1249	nf-557f12490c5f63fc671f72f0b7f01aa4-fdf1c	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R1)	COMPLETED	0	2026-01-07 13:15:47.460	1m 17s	1m 16s	138.3%	74.4 MB	224.6 MB	2.5 GB	3.6 MB
60	7d/2d906d	nf-7d2d906d06fd81f09a8173edc88b3692-c064c	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (A549_R3)	COMPLETED	0	2026-01-07 13:16:42.273	24.7s	12s	96.5%	12.6 MB	39.2 MB	484.8 MB	54.6 MB
61	fb/05f0cc	nf-fb05f0cc86ac77ce157def919390b62f-38cb0	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R3)	COMPLETED	0	2026-01-07 13:16:52.228	38.8s	25s	99.6%	22.9 MB	49.2 MB	798.9 MB	50.2 MB
62	a2/9ab1da	nf-a29ab1dae0cda025175fb05b7f753df7-30a0f	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (K562_R1)	COMPLETED	0	2026-01-07 13:17:07.371	53.6s	38s	99.7%	40.2 MB	66.6 MB	1.2 GB	78.9 MB
